customer_id,name,age,income,created_at
1,Christopher Johns,41,46497.41,2025-12-15 15:56:07.757745
2,Christina Garcia,33,147536.03,2025-01-04 17:51:05.186297
3,Juan Leonard,64,182282.98,2026-01-10 03:24:12.747468
4,Laura Davis,70,199149.3,2025-10-20 06:46:54.987714
5,Diana Roberts,46,103330.32,2025-10-22 10:37:44.425242
6,Tina Rivas,26,36744.41,2026-06-10 18:59:11.521258
7,Michael Castillo,59,87299.46,2026-02-19 18:20:44.239446
8,Pamela Clarke,69,90783.51,2025-09-19 02:33:22.040134
9,Lydia Smith,36,126351.24,2026-05-24 21:33:42.595040
10,Jessica Clements,47,122220.1,2026-05-30 19:45:51.099416
11,Rhonda Peterson,42,66173.03,2025-07-15 01:06:18.212830
12,Brian Cox,21,76536.72,2024-08-06 17:11:22.789970
13,Jessica Trujillo,51,144985.67,2025-09-28 11:36:32.345703
14,Brett Lopez,67,132126.52,2023-09-06 11:35:58.054456
15,Thomas Baker,30,162698.92,2024-01-06 21:30:18.549020
16,Anthony Taylor,42,168306.07,2023-11-19 13:43:32.787278
17,Brittany Bright,46,196648.75,2024-07-25 02:08:27.525038
18,Elijah Baxter,72,178734.55,2023-10-16 08:02:44.913028
19,Lisa Roberts,47,59609.58,2023-08-21 05:56:03.722991
20,Carrie Thompson,45,135675.19,2025-04-25 07:33:03.294441
21,Sabrina Gallagher,35,40728.23,2024-01-17 21:02:54.640512
22,Darin Holt,69,101795.3,2024-06-06 12:09:53.531218
23,Leslie Watson,35,190469.72,2024-06-29 16:18:35.405916
24,Scott Tucker,31,176514.19,2024-12-03 18:48:15.086836
25,Jason Haynes,23,31379.08,2024-09-21 01:08:57.543878
26,Benjamin Salinas,30,199765.75,2026-01-07 11:58:23.770916
27,Olivia White,36,133553.16,2026-03-24 23:31:59.293812
28,Christopher Barry,70,62286.43,2026-06-10 23:48:34.856197
29,Samantha Burke,32,87457.96,2023-08-19 04:00:20.526805
30,Jeffery Johnson,70,48357.31,2024-09-06 04:26:42.371531
31,Jenny Martinez,51,120799.92,2024-06-22 16:36:46.818376
32,George Robertson,69,48060.98,2026-05-21 19:32:20.799911
